#{"t_start": 1682828472.0552056, "env_id": null}
r,l,t
1611.721638,2,32.745727
1611.721638,2,32.789552
1611.721638,2,32.829611
1611.721638,2,32.86811
1611.721638,2,32.907612
1611.721638,2,32.951099
1611.721638,2,32.991075
1611.721638,2,33.031152
1611.721638,2,33.070098
1611.721638,2,33.115803
1611.721638,2,33.156497
1611.721638,2,33.195198
1611.721638,2,33.231031
1611.721638,2,33.275856
1611.721638,2,33.325904
1611.721638,2,33.395266
1611.721638,2,33.43898
1611.721638,2,33.500542
1611.721638,2,33.549157
1611.721638,2,33.604205
1611.721638,2,33.644367
1611.721638,2,33.698939
1611.721638,2,33.742049
1611.721638,2,33.785948
